index,2018年度,2019年度,2020年度,2021上半年,2021下半年,2022年度,2022年评分,2023年度,2023年评分
63,083、我家台灯不亮了，气得我直接致电国台办。,270、穿真鞋的人还不是相当于买了一双假的莆田货？,301、“我无雨了。”龙王对着求雨的人说,243、“你走你的。”阳关道。,229、快手上市了，投资者们激动地喊道：“快手冲啊！”,300、他盖着白布，摆出一副不想理我的样子。,3.59,280、小马过河，牛说简单，鼠道难。,3.59
64,082、一男子借钱后还给债主一堆大便，自称视钱财如粪土,269、开学时，我和同学打了一架，老师要我叫家长来，我理直气壮地说，我一个人就可以打得过。,300、我昨晚的作业全都写完了，不过它无法被看见，也无法被触碰，无法被任何手段侦测，但它就是在那里。,242、谁能想到表面上平平无奇的我，背地里也是平平无奇呢？,228、梦见男朋友是个风流浪子，还好梦是反的，原来他是流浪疯子,*298、911遵循国际惯例得塌房。,3.59,279、职业杀手通过谋杀进行谋生。,3.59
65,081、警方封锁凶杀现场后收取参观门票,268、这么多玩cosplay的，怎么就没人玩sinplay、tanplay……,299、预防老年痴呆最好的方式就是从年轻就开始痴呆。,241、大气里最多的气体是氮气，原来人的本质是薯片,227、为了不留下遗憾，我带着遗憾离开了那个地方,296、“我最喜欢绑一大哥了！”女绑匪在直播中坦言道。,3.60,277、为了增加虚拟偶像的真实感，公司决定以其名义偷税漏税。,3.60
66,080、珠穆朗玛峰下埋的是谁？怎么坟头那么大,267、拉拉队的反义词是不是gaygay队？,298、很喜欢《人教版高中数学必修一》里面的一句话：“如发现印、装质量问题，影响阅读，请与本社联系。”,240、“草，雀食。”护林员张师傅耐心地向着新徒弟讲解道。,226、每次杀完人回到寝室看着没写完的作业心里总有一种强烈的负罪感,295、垃圾桶收下了遗憾心酸的花朵，草稿箱埋葬着不合时宜的情书。,3.60,276、氧气占空气体积约五分之一，所以每次呼吸都有五分之四的概率憋死。,3.60
67,078、还记得我第一次丢人，就被投诉高空抛物,266、王老汉的新论文因100%抄袭字典被判学术不端,297、吃什么补什么，小明果断吃掉考卷获得补考。,239、人只有醒来后才知道自己睡了一觉,225、他人即地狱，所以自己待着就是天堂,294、收藏被拿出来展览就失去了收藏的本意，不拿出来展览就失去了收藏的价值。,3.60,275、现在国内的手机基本都是套壳的，能买到的猪肉也基本是阉割版。,3.60
68,077、功夫不负植物人他终于结出果实了！,265、“内存已满”，内存不满道,296、达芬奇说：天才=99%汗水+1%天赋，家长抵制高考期间开空调。,238、班房又叫牢房，为什么上班不叫坐牢？,224、资本家深入群众被当异物取出,293、冲动是魔鬼，冲不动是阳痿。,3.60,274、唐僧西行前受到鼓励：“莫愁前路无知己，天下谁人不食君？,3.60
69,076、听力考试结束请听天书的同学立即成仙,264、克林顿离开白宫以备布什之需,295、小郭非常喜爱明日方舟，为其创作娘化同人《郭敬明日方舟子》,237、路边歪斜的共享单车，是失去灵魂的上班族的蜕壳,"223、我是一名程序员/<br>我爱的女生很可爱/<br>她就是我的全世界/<br>我向她走过去/<br>对她说/<br>Hello, world",292、洗米水那么有营养，为什么不用洗米水煮饭？,3.60,273、手机每天都在我身上，我会不会其实是手机支架。,3.60
70,075、电竞大赛上，我和杨教授比赛谁能承受更高的电压,263、老王是名刽子手，时常让人摸不着头脑,294、“傻子什么都理解不了。”<br>“你什么意思？”,236、“回忆”这个词是不是“迷宫”的近义词啊，要不然我怎么走不出去,222、小王同学在考研吧已经当上了吧主，可他还没有考上研究生,291、生活充满了苦涩，可惜我吃不得苦，只能涩了。,3.60,272、皇帝晒太阳，身后产生了影帝。,3.60
71,074、“病人的腿保住了！”疲惫的医生如释重负地说道。家属看着被推出来的那一条腿，都激动的说不出话。,262、男友称自己女友太物质，一气之下将女友量子化。,293、我觉得关于郭敬明的梗都好low啊,235、吴刚伐桂，虽然桂花树永远砍不倒，但是抖落下来的桂花成了宇宙的星星。,221、Jealousy，猜忌，这个单词如何形象的记忆呢？你就想，j出门遛弯，遇到了e，又遇到了a，还遇到了l，他们四个一起走，又遇到了o，还遇到了u，之后又遇到了s，最后遇到了y。这样记忆简单些了吗,290、小黄人被电锯杀人狂切成了小黄片。,3.61,271、校长对施工队说：“让你们建校了。”,3.61
72,073、班主任因脾气太差被同学们送去了变形计。,261、阿基米德口出狂言，声称自己是全球最大的杠精,292、别活着了，会死的,234、葬礼就是人生的毕业典礼,220、你可能不知道，为了活下去，我每天都在努力吃饭,*289、与其把钱存银行，不如把钱交给我。——劫匪,3.61,270、水是万物之源，那水又起源于哪里呢？起源于水母。,3.61
73,072、主持人往嘉宾头上浇汽油，称接下来要进行一个烧脑游戏,260、海水是咸的，因为大家的汗水付诸东流,291、外行人看热闹，内行人直呼内行,233、我给了世界一拳，世界给我以风,219、我把垃圾扔垃圾桶里，垃圾把我扔在外面,*288、乌克兰能不能别花钱买热搜了，好好搞军备。,3.61,269、人类真是一届不如一届，现在的小孩都退化到需要猿辅导了。,3.61
74,071、“你一个有障碍的人，敢坐无障碍电梯？”保安一脚踢翻了他的轮椅,259、吃细胞不吐细胞核,290、仔细观察尸体的衣着后，王警官初步确定被害人姓名为李宁。,232、“不许涩涩。”干眼症患者对自己的眼睛说道。,218、医生说我还有三天可以活，我越想越气，决定不遵医嘱多活几年,287、我们注册人生的账号时一定同意了某种使用条款：我们只是获得了生命的使用权，但是却从未拥有它。,3.61,268、偷功德箱里面的钱算不算提现,3.61
75,070、乌鸦为了喝到水往瓶子里放了两斤钠块,258、扫黄行动刚开始，经验丰富的王警官就把所有违法店铺列了出来,289、报告首长，我军已占领道德高地，随时可以发起谴责,231、周敦颐因为首次采用了踩一捧一的思想而被誉为我国古代著名思想家,217、庄子：昨晚梦见我俩了，你和现实里差不多。惠子：那你呢？庄子：我是你蝶。,286、阳光洒在地上，到底是照亮了尘埃，还是隐入了尘埃？,3.61,267、我的钱只花在网游上，因为网络是把双刃剑，钱要用在刀刃上。,3.61
76,069、在老师和父母压迫下，不爱写作的小明终于养成了每天写遗书的习惯,257、进行心脏移植手术的王老汉忘记塞红包，事后怀疑医生没安好心。,288、足球已出现人传人现象,230、在过去特定时间点送花和转账的中国传统节日只有清明节。,216、我向镜中的我走去，镜中的我向我走来——即使是双向的奔赴也毫无意义,285、“我学编程都是为了你好”程序员对世界说道。,3.61,266、学土木工程的小张为了找工作，进了一个搞基建的群。,3.61
77,068、每次中五百万我都是花完再醒的。,256、师徒四人利用可乐杀精的原理一路斩妖除魔,287、“天堂制造！”普奇神父向大家介绍自己的伞。,229、用书占座和撒尿占地盘是一样的，所以占座的人是真的狗。,215、买森林木家具，是人从众心理,284、狗是不是因为吃不了巧克力所以拿屎做平替啊。,3.61,265、飞机上那么壮观的景色，居然没有任何一首古诗能将其描绘到位,3.61
78,067、皇上因怀疑太子密谋篡位而将其满门抄斩,255、九头蛇上学担心迟到，只洗了三个头匆忙出门遭同学嘲笑,286、我配了一副眼镜，但是因为把这个世界看的太清楚了，我没有戴。,228、精卫：人类是有极限的，我不做人了，啾啾。,214、“开了个好头”僵尸兴奋地说道,283、小明在自助餐厅倒果汁时遭人暗杀，只因他汁倒得太多了。,3.62,264、《蝙蝠侠大战超人》殴亨利式结尾。,3.62
79,066、我院王老汉被查出无证行医，被治好的病人将在明天午时处决。,254、地球之所以这么圆是因为月球每天都盘它,285、科学家说人的基因50%和香蕉相似。我的基因50%来自于爸爸，50%来自于妈妈，推理可得我的爸爸妈妈中有一个是香蕉,227、如人饮水，咕嘟咕嘟。,213、你又没有吃过云，怎么知道那不是棉花糖？,282、玉皇大帝被孙悟空打趴下是不是说明他姓玉不强。,3.62,263、梦里卖煎饼果子，纯纯的脑摊。,3.62
80,064、洋奴看到有人出洋相立刻下跪认爹,253、弱水三千，只取一瓢。重水两万，能造原子弹,284、哪吒的风火轮坏了一只，于是他踩一捧一,226、一想到流逝的时间心里就很沉重，可不可能心脏是种能感受时间的器官,212、沿海的人吃海鲜是吃个新鲜，内陆的人吃海鲜是吃个新鲜,281、重庆大学怎么天天都有重大新闻？,3.62,262、善用短语可以凑字数，比如说比如说，还有就是还有就是，以及以及。,3.62
81,062、“一起死吧！”残忍的恐怖分子拉住特警队员当场拜把子,252、本场谋杀案使用了设置悬念，激发读者阅读兴趣的作案手法,283、“我之前有个同学从楼上掉下来摔死了。”鲁豫：“哦，严重吗？”,225、人要读古人的作品，龙也要读古龙的作品,211、游客走在断头路上，问导游，“我想去这条路能不能导下？”导游说：“不连续必不可导。”,280、Angelababy的孩子要生下来必须脱颖而出。,3.62,261、为了让舰队内部铁板一块，麦克阿瑟将军把战舰拆的就剩一块铁板。,3.62
82,061、朋友说他会讲段子，我一拳就重重落在他裆部，我才是真正的断子手。,251、上帝说的话被河蟹了，于是天空中就有了星星。,281、为了使两个聋哑人停止争吵，院长关掉了灯。,224、楚门的世界是不是特意拍给我看的，让我相信我不是楚门？,210、想把今夜的月色穿在身上，于是我赤裸着走上了街头,279、肚里真有墨水：拉黑了。,3.62,260、把一小块玻璃渣子刺进肉里一直不取，这样就有东西会疼你一辈子了。,3.62
83,060、暗恋一个女孩很久了今天情人节想鼓起勇气砍死她,250、男子暴跳如雷被电母相中,280、“很抱歉，我没能挽回他的生命。”医生一边这样说着一边来了一个后空翻，“不过没事，我已经给他整活了。”,223、人生还是很简单的，看我一命通关。,209、我经常失眠，因为在梦境里我无法逃避,278、国际足联盛赞卡塔尔世界杯是有史以来最新的一届世界杯。,3.62,259、今日割十城，明日割五城，日取其半，万世不竭。,3.62
84,059、怎样说服领导在文件上签字？再过俩小时就要把生死簿归还阎王了,286、暴雨橙色预警是要下芬达的意思吗,279、要抓住一个男人首先要抓住他的胃，王警官苦练厨艺终于抓获嫌疑人。,222、我至死是活人,208、食人族点外卖，半天外卖还没送到，酋长问点了什么。“戈多。”,277、每个人是不是都在说着长达几十年的遗言呢？,3.62,258、秦始皇东巡偷偷带回一车咸鱼，为掩盖臭味竟果断猝死。,3.62
85,058、王老汉路边捡到一沓冥币，路边坐等撞死后享福,249、当你看到这封信的时候你已经看到这封信了。,278、未来的学生会感谢我们把这么多历史大事都放在一个好记的年份的。,221、为了您的生命安全，请勿自杀。,207、王老汉忘了给手续费导致无手可用,276、每一个梦都是仅自己可见。,3.62,257、“请用‘大人有大量’造句。”<br>“和大人有大量财富。”,3.62
86,057、这位同学眼保健操对屁眼是无效的请不要脱下裤子。,248、狮子王辛巴是中国的吗，美国的姓氏里没有姓王的吧,277、“爸爸，减法是谁发明的”<br>“侯德榜”,220、“我爱你”只是一个人卑微的请求，两个人的浪漫是剩余在沉默里的吻,206、人们寻找安静的图书馆，为了集中注意力，却戴上了嘈杂的耳机。,275、我用的不是智能手机吗，为什么能刷到弱智吧？,3.62,255、陈睿和商鞅，真是旱的旱死涝的涝死,3.62
87,056、小明因为家暴被告上法庭，当庭被判为国家散打队一级选手,247、“不要再打啦！你们不要再打啦！要打去练舞室打！”广场舞大妈站在篮球场上说,276、“抱歉，占用公共资源了。”老八在公厕里发文说到。,219、晚上睡不着觉，我妈告诉我，躺平了才能睡着，卷着是睡不着的。,205、小明冬天舔铁门舌头被粘住，小红读了一条热门新闻将其解救,274、情商很重要，但是你们不重要。,3.62,254、美国登月当然是真的，如果美国登月是假的，那为什么我们登月的时候没有看到一个月球原住民呢？,3.62
88,055、阴间新闻：孟婆汤效果太好至今没有顾客付钱,246、我方间谍成功渗透进敌方内部给敌人造成不小的渗透压。,275、“上帝死了。”尼采说着，把顾客埋了。,218、食人族们吃着夫妻肺片，纷纷感慨：“这cp也太香了！”,204、妈妈做的面我可以直接吃，方便面却还需要自己泡，真不知道到底方便在哪儿,273、上海的黑人是不是也叫达克宁。,3.63,253、薛定谔的猫死于开盒,3.63
89,053、程序员专业考试第一题：请考生在三十分钟内完成猝死。,245、镜头一转，小鲜肉演技炸裂，拍摄现场一片血肉模糊,274、“为什么up主总喜欢在视频里打广告？”<br>“因为恰到好处。”,217、如果星星符号（****）代表着脏话，那么夜晚的天空就是天使们在骂街。,203、但凡吃了一颗花生米，肚子里就多了一颗花生米。,272、成年人的沉默都是悄无声息的。,3.63,252、伟大的沙皇陛下走进大殿，一众大臣欢呼：“看，大沙陛来了！”,3.63
90,052、国足队员俄罗斯勇夺世界杯被警方扣押。,333、我丨国特别成立的反诈丨骗特别行丨动组在打击多个密丨集诈丨骗窝丨点后竟顺便解丨放丨台丨湾。,273、现在的美国人，也叫殴尼酱。,216、“我年轻的时候是白手起家。”满手鲜血的老资本家自豪地回忆道。,202、灯塔是陆地的诱饵,271、上帝七天都能做个人了，调休七天不能做个人吗？,3.63,251、张老汉耍流氓被流氓告上法院,3.63
91,051、请犯人选择心动法官,244、我不是懒，我只是不好意思麻烦我自己。,272、武松过景阳冈，打一动物——老虎,215、公司的水太深，所以上班才会摸鱼。,201、发呆是在阅读空气,*270、天庭划分风险区域<br>姜子牙公布封神榜,3.64,250、有没有一种可能，情敌其实不是敌人，而是同好,3.64
92,050、王老汉残忍的把老年大学班主任活埋了，只因班主任要见他家长。,243、二元一次方程，方程太随便了吧,271、对不起老婆，我们结婚这么多年都没有孩子都是因为我是穷鬼和人类有生殖隔离,214、霍格沃兹的学生被规定每天晚上按时观看《今日说法》。,200、一是1划，二是2划，三是3划，所以有没可能五才是4，而四才是5呢,*269、现在的娱乐圈真的挺不容易的。,3.64,249、饭后百步走，作诗十四首。,3.64
93,049、不想再单身下去的我去庙里求菩萨。菩萨拒绝了我的求婚。,242、撒入大量生石灰后，水军瞬间沸腾了起来,270、我在春天买了一台风扇，这样夏天它就能吹出凉爽的春风了,213、做过最美的梦，就是忘了失眠,199、李白点奶茶，绣口一吐就是个半糖。,268、林黛玉是不是没有树枝，因为她经常说葬花。,3.64,248、既然高考是看排名的，那大家为什么不都考0分呢？这样人人都有大学上了。,3.64
94,048、火云邪神苦练多年，终于将蛤蟆功练至顶级并成功产下8个小蝌蚪,241、大家好，我是新来的小树苗，请多多光照,269、小女子无以为报，唯有来生做你🐴,212、初中的电源没有内阻，而高中的电源有，这是不是科学的倒退,198、小知识：人在死亡后可以不吃不喝很多年。,267、贞子从老王的电视里缓慢地爬出，老王惊恐地大喊道：“我新买的电视怎么掉贞了！”,3.64,247、年轻人时间不要总放在游戏娱乐上，去中个五百万对自己的提升真的很大。,3.64
95,047、博尔特这个窝囊废跑100米十秒都坚持不了。,240、天庭召开破除封建迷信大会，宣称世界上凡人是不存在的,268、四川爽身粉又名宝宝巴适,211、时间就像海绵里的尿，能挤但我不愿去挤,197、老妈经常对我说：漂亮的女孩子说话不可以信；所以老妈说的话不可信，漂亮的女孩子说话可以信,266、上天堂后不见上帝，问天使：“主不在乎？”,3.64,246、因为不满职场上人人都戴着面具的工作氛围，潜水员愤而辞职。,3.64
96,046、天子犯法，当与庶民同乐。,239、“小红乖，用英语跟阿姨说再见。”<br>小红：“英语。”,267、太阳发烧6000度被隔离在1.5亿公里外,210、导师批阅学生的论文时突然晕倒，事后人们得知他有深海恐惧症,196、“我承认这次是风抱住了我。”跳楼的王老汉说道。,265、为成为千古一帝，嬴政改名为A秦始皇。,3.64,245、肥胖的法老去世了，大家很难绷。,3.64
97,045、道士大怒，网上真匚人匚发匚牌并不是真人,238、寿衣——老来这一套。童装——少来这一套。,266、我在湿滑的地面上小心地滑。,209、我从耳机盒子里拿出耳机戴上，会不会其实我也是耳机盒子？,195、李华的英语试卷因出现个人信息而作废,264、“这家店很实惠，三个人才两百多”——食人族探店评论,3.64,244、女装男也是一种男装女,3.64
98,044、高考期间，王老汉给儿子当枪手，没想到当场击毙十几个监考老师,237、在春天栽了一个跟头的李老汉，到了秋天跟头一个接一个,265、今天天气好热，就要中薯了。小明走进麦当劳时说道。,208、抓耳挠腮是用来形容猴子的，所以抓耳挠鳃是用来形容水猴子的,194、王老汉拉了一卡车葡萄，一个急刹车后车里竟只剩一个西瓜,263、成为植物人的我已经和你们有一层可悲的厚细胞壁了。,3.64,243、梅侍萍：“我怀孕了，孩子是你的。”<br>周朴园：“侍萍不能劈，所以是真的。”,3.64
99,043、功德箱里的钱莫名减少，方丈称是佛祖抽成百分之五十,236、食人族族长患上了败血症，其儿子表示会抓几个柠檬精来帮父亲补充维生素c,264、“你真厉害，要我大气都不敢出。”<br>“没办法，宇航员嘛。”,207、陆羽接受拜访时谦虚地说道：“哪里有什么天才，我只是把别人喝咖啡的时间都用在喝茶上了。”,193、李外卖由于违反学校禁止叫外卖的规定被开除,262、史书上怎么老是记载皇帝把人踢死了？,3.64,242、我室友玩文明6时说脏话，那他还是文明玩家吗？,3.64
100,042、得道高僧王老汉在新浪总部做法，某明星一夜流失数十万僵尸粉。,235、“你们这是叛国！”科学家大骂：“为什么我国呕心沥血研发的导弹竟然要用在别国身上！”,263、朋友都以为我有超能力，可以预测未来的坏事。其实他们不知道，我的超能力是诅咒啦。,206、女大三，报考研班,192、研究表明：睡觉可以有效治疗失眠。,261、“这是我推。”屎壳郎指着粪球骄傲地和大家介绍道。,3.65,241、古代人上交粮食来抵徭役，算不算一种麦当劳。,3.65
101,041、我好心好意骗你，你居然不相信,234、点心师凭借做花卷的特长，高考加了750分卷面分,262、普通人喜欢把植物的生殖器用来示爱，那植物人会不会把普通人的生殖器用来示爱？,205、吕布被俘后要认曹操为义父。<br>曹丕：你这个弱智没有自己的爸吗？,191、我前脚刚走，我后脚就跟上了,260、宝莲灯，又称：二舅治好了我的精神内耗。,3.65,239、我睡前锤了两下我的枕头，现在不敢睡觉了。它是个记忆海绵枕头，我好害怕它记仇半夜起来给我两拳。,3.65
102,040、每到清明节我都会遇到一些有趣的灵魂,233、叶问被打的浑身是伤，变成了时间。,261、我的词汇量不仅匮乏，而且匮乏。,204、孟子认为性本善，荀子认为性本恶，而东北人认为银杏这种东西是逐渐发烂发臭的,190、低情商：恶之花绽放的土地；高情商：今夜我们都是美国人,259、对6点闹钟的心里话：“你要这么响，那我也没办法。”,3.65,238、耶稣为什么不伸出手掌为肯尼迪挡下子弹？,3.65
103,039、在本店吃死的顾客凭小票隔壁棺材铺九五折。,232、牛头马面听上去好香啊我以后下地狱也要点一碗,260、资本家看到未来的花朵：呦！韭菜花！,203、太监抑郁了，因为他的emoji表情没有ji,189、怎么，清华真就人均985呗？,258、讨厌新冠时期的爱情，这种不解封情。,3.65,237、“女士您好，您点的青山惊梦、金桂摇香、云间烟火、丝绒夏光、白鹭微霞、健康膳食溶液、清凉快乐因子，冬日的第一杯初恋好了！”<br>“老板，你做错了，我点的去冰！”,3.65
104,038、爱国尸体拒绝乘坐日产灵车,231、家里用黑白电视的小明至今看不懂葫芦娃,259、狗比人聪明，因为狗能听懂人说话，人却听不懂狗说话,202、梦是眼皮里的壁画,188、我在网吧能上网，为什么在弱智吧不能上弱智？,257、以下内容可能会引起（bushi）,3.65,236、我从1一直数到了10000都没有发现两个完全相同的数字。,3.65
105,037、这表号称电池比人的寿命还长果然第二天我就死了,230、今天雨，出门请带好雨具；明天晴，出门请带好阳具,258、考试考得好的人成绩一般不会太差。,201、我是一名洗晚工，每当接近天亮时，我就会把夜晚洗去。,187、我躺在一大片花海的中央，期待着被溺死于花儿的芬芳。,256、现在好莱坞电影又要有LGBT，又要有少数族裔，太麻烦了，干脆直接定个指标，叫基尼系数。,3.65,235、神庙屋顶漏水，永远滴神。,3.65
106,036、毕业那一年，为了操到那一个人，我哭着操遍了全班。,229、草民斗胆，请皇上驾崩,257、这是《协议协议》，签了它，以后所有协议就都视作你已同意了。,200、一座山最多可以容纳五个人，因为三人成虎,186、让皮诺曹说光是粒子，它的鼻子会怎样？在宏观上变长，但在微观上不变？,255、入狱三年，我好像陷入了囚徒困境。,3.66,234、我要睡进安检机里，看看我梦里到底有什么危险东西。,3.66
107,035、江洋大盗王老汉从来不敢偷茶叶店，因为听说茶叶店有聋警察,228、别害怕，我们家丧尸不咬人，他跟你玩呢,256、“一想到你我就哦哦哦哦哦哦”公鸡对着太阳说道,199、老王擅长砍价，于是他将二氧化碳砍成一氧化碳中毒身亡,184、拉屎是什么很稀罕的事吗？为什么每个过马路的人都要看我一眼？,254、毕业生太多导致就业困难，新生儿太少导致人口下降，那么让毕业生去当新生儿不就可以解决问题吗？,3.66,232、白骨精头疼是看骨科还是脑科？,3.66
108,034、外星人：你们地球人里除了那个叫马云的其他人长得真T匚M匚D寒掺,227、“自己做的干净卫生😊。”制毒团伙微笑对警方说道,255、跌落神坛上供着跌落神,198、人类高质量男性的惯性会很大吧,183、做什么事都积极不起来的抑郁症小明被要求积极配合治疗。,253、你喜欢吃火龙果？好巧！我的表也八点了！,3.66,231、孙膑出门，但足不出户。,3.66
109,033、鹅害鹅州的鹅为什么要害鹅？,226、治好了多年的失眠，高兴得睡不着,254、第一次吃这种药死掉很正常以后就不会了,197、逆转录酶对mRna说：反转了，家人们,182、“人家才不是二次元呢”x²哭着说。,252、男人过了两百岁，就不要穿活人的衣服了。,3.66,230、小明住进凶宅却遇到了灵魂伴侣。,3.66
110,032、法官最终将被告人的老婆判给了自己。,225、桥本环奈听起来像一个化学药品,253、有什么心里话别憋着，说出来让大家伙举报你,196、奉行狼性文化的百年企业终于把员工驯化成了狗。,181、赤道那么暖和，为什么不给我们北方修一条？,251、小明为了出道成为虚拟主播苦练虚拟语气。,3.66,229、女娲对着天上划过的流星许愿：“别有洞天。”,3.66
111,031、经过反复的调解和协商，恐怖分子同意只炸大楼的下面十层,222、恐怖分子加氧气点燃，发生置换反应，生成恐和氧化怖。,252、某流量明星因公开辱骂黑粉被批种族歧视,195、人酸了的时候通常会眼红，会不会眼睛其实是pH试纸？,180、很多明星都有后援会。我不一样，我运动完后缓会,250、本科生都烂大街了！由此可得本科生具有腐蚀性。,3.66,228、安禄山老是向唐明皇敬酒，皇帝笑称：“胡人总灌君。”,3.66
112,030、辩论大会上唇枪舌战，王老汉还来不及反应，就被正方选手舌吻到高潮,221、我这条命，可以说是我妈给的,251、由于只能上网课，校园暴力也积极转型为网络暴力,194、“献丑了！”大喊一声后我摘掉了口罩。,179、表演话剧，小明一人饰三角，小刚一人饰椭圆。,249、我方律师要求证人证明哥德巴赫猜想。,3.66,227、月光其实是反射的日光，所以想白月光本质上还是想日。,3.66
113,029、抗日奇侠怒撕日本地图，日本当场灭国,220、根據牛頓第一定律，我推算出本次世界百大物理學家排名，愛因斯坦只能屈居第二,250、“玩具声音太大怕室友听见怎么办？”<br>“你不会叫大声点吗？这样室友就听不见了啊。”,193、一只猫摔个半死，到底是剩8.5条命，还是剩4.5条命呢？,178、化学老师对我说：化学就是现实的魔法。所以交化学系女友是不是约等于和魔法少女谈恋爱？,248、<br>错选土木，生活水深火热，命里缺金。<br>混账东西，一生走南闯北，啥都不中。,3.67,226、敌军来犯，一群书生商讨御敌之策，有人建议在敌军必经之路上埋下伏笔。,3.67
114,028、过期了的杀虫剂是更毒了还是不毒了,219、为了震慑孙悟空，玉帝当众杀死昴日星官。,249、河水真的在一直流淌么，它会不会趁晚上没人看到的时候偷懒,192、向日葵能否成为星际时代的指南针？,177、先别说话，再别康桥,247、招聘体育老师，要求：体弱多病，无上课嗜好。,3.67,225、只有斌斌遵守了规则：玩累了就睡觉。,3.67
115,027、缴械不死，于是匪徒就这样获得了永生,218、“我怀疑你在开车，但我没有证据。”副驾驶上的盲人王老汉对司机说,248、监听犯罪分子谈话三十秒后王警官的手机突然静音，要求开通会员听完整版。,191、小孩没有钱就只能回家，大人没有钱就无法回家。,176、蚕宝宝对摊主说到：我要变态辣！,246、刻意突兀的转折并不好笑，同理，玩也是王字旁。,3.67,224、高考出分了，想咨询各位学长学姐平时用什么方法提纯铀235呢？,3.67
116,026、苏炳添拿了块100米的短跑金牌，我就没见过那么长的金牌,217、会气功的人，运气都不会太差,247、吾十有五而志于学，十六号考试,190、我的论文答辩：无实物表演,175、呦呦呦，这不洛杉矶吗，几天不见，这么LA了？,245、小品里的家庭都有这儿那儿的矛盾，为什么不请一些没矛盾的来演？,3.67,223、房东把房租给我，为什么不把房租给我？,3.67
117,025、當我們擦肩而過的時候你绝不会想到其貌不揚的我竟然是豪华黄钻,216、女友称我的银行卡太好看忍不住二刷,246、同学们从这句“雌母手中线”可以看出自唐代起就有了不要男妈妈的传统,189、委婉骂人：带你入坑地球ol的玩家退游了,174、为什么炫迈不请特斯拉代言,244、现在的初中生连他高中老师叫什么都不知道。,3.67,222、经过一番调查，王警官终于在被害人身上找到了属于被害人的DNA。,3.67
118,024、去医院做检查，医生拿着化验单说，亏你来的及时，再晚点停尸房可就没位置了。,215、三个臭皮匠顶诸葛亮，诸葛亮很舒服,245、老师：请用“布置”一词造句。小明：你不知道谐音梗扣钱吗？,188、我炸书，周围就会充满了知识分子,173、“快点拉出来吧！”是一个祈屎句。,242、小明揭开了公司的黑幕，导致吸血鬼老板被晒死。,3.68,221、什么东西和“机”<br>“美”有关，本来有两根，后来掉了？——正确答案：双子塔,3.68
119,023、别以为你穿着衣服就能掩盖你没穿衣服的事实,214、剪动脉还是剪静脉，拆弹专家对着人肉炸弹说。,244、不倒翁听起来像是性功能非常强的老年男子,187、当雪崩发生的时候，没有一片雪花的成分不是H2O。,172、当我举起雨伞，我就不再属于这片天空,241、刚出生的耶稣被众人叫作天献宝宝。,3.69,220、人不学的下一句是什么来着。,3.69
120,022、谁能想到，看起来年纪轻轻，只有二十多岁的我，已经是两个人的儿子,213、王老汉想买彩票又不想出门，于是把2元钱冲进了马桶,243、黑人是不道德的。,186、我把電車難題简化了，现在是电车难题了,171、悉心指导学生的王老师被当场取消监考资格,240、人生就像塑料袋，装了一辈子，最后不是被烧就是被埋。,3.69,219、“你每天都在地域黑，能不能反省一下？”<br>“ok，反哪个省？”,3.69
121,021、“余生多指教！”无期徒刑罪犯刘某向狱警王教官说道。,212、不好了猴哥，门口有两个如来佛祖打起来了，吵着要你来分辨真假,242、比起段子，应该还是我的论文更加搞笑一点。,185、陈睿书法力透纸背，可知其笔力必利。,170、高楼大厦切割了天空，抬头看去，天空从来都不是完整的。,239、“人是死的，树是活的。”顺治评价崇祯。,3.70,218、灯神，我现在一米五三，想变成一米八！<br>没问题！“啪”<br>可是我没有变化啊？<br>现在是九进制的世界了～,3.70
122,020、孙悟空用武力逼迫无能的阎王政府签订不平等生死簿史称鬼门关事变,211、经过一顿暴打之后，水土不服的病人终于服了,241、经历了太多之后，特朗普改名为特朗普（已黑化）,184、医生说我智力低下是什么意思？,169、老马识途，大马士革，小马宝莉。,238、语言暴力：( '-' )ノ)`-' ),3.70,217、开学不是37开也不是46开，而是91开。,3.70
123,019、父亲怒斥我不争气，连打起来的手感都不如别人家孩子,210、本考试是闭卷考试所有考生一律不准打开试卷。,240、“妈妈天上有个小男孩在飞，那是彼得·潘吗？”<br>“不，傻孩子，那是原子弹！”,183、死亡是人生的通关奖励,168、我写的代码因为bug过多被昆虫学家们奉为百科全书,237、我在发呆，请大家有序排队领取。,3.70,216、能不能不要开肯尼迪的玩笑了，开玩笑也要有个头。,3.70
124,017、楼下的算命先生名不虚传，他居然算出我只有一条命,209、下面我们将在烈日下用放大镜对这只蚂蚁进行焦点访谈,239、冬天我带上手套，不是为了给自己保暖，只是不想加热这个世界。,182、谁能想到，一向见钱眼开的他，竟然被金钱蒙蔽了双眼？,167、总是忍不住咬手指甲怎么办？专家一语道破：只要把不和住两字换下位置，立刻忍住不咬手指甲！,236、抓小龙虾的人怎么知道哪一只是蒜蓉的哪一只是麻辣的？,3.70,215、“他应该是不想干活。”王警官指着从河里捞上来的尸体说。,3.70
